#1
double K(151,3)
0.0 751.8444463898242 0.0
0.024808164115469152 748.1500074779625 0.00021951355301908136
0.10319183588453083 734.2022538635539 0.0008654064422871678
0.16 721.9337587079149 0.0012602922695492797
0.1848081641154692 720.7450710297716 0.0014166095256162993
0.2631918358845309 714.4789978863457 0.001884774789419444
0.32 710.7701570496556 0.0022035395379519265
0.3448081641154692 709.833501635388 0.0023394175211583733
0.42319183588453085 706.7216257725674 0.002760446514064128
0.48 704.7923095818161 0.0030590168369364285
0.5048081641154691 704.1517112489115 0.0031882592365634686
0.5831918358845308 702.2390527608717 0.003594080782311443
0.64 701.0280856259374 0.003886480085581324
0.6648081641154692 700.5947863922503 0.004014000673850527
0.7431918358845309 699.3253353052929 0.004417377598933107
0.8 698.5182009406736 0.004710649884157097
0.8248081641154691 698.2237282451807 0.004838721705960691
0.903191835884531 698.149993070808 0.005251610902610186
0.96 698.1499931615473 0.005559236220553309
0.9848081641154691 698.1499930550974 0.005695916246431022
1.0631918358845307 698.1499930381502 0.006137265114186362
1.12 698.1499930970915 0.006466341255989393
1.1448081641154693 698.1499930406513 0.006612529120519376
1.2231918358845308 698.149993033198 0.007084539487192678
1.28 698.1499930837257 0.007436437358460707
1.3048081641154692 698.1499930376054 0.007592752494805789
1.383191835884531 698.1499930326177 0.008097415482351265
1.44 698.1499930858638 0.008473610657314468
1.464808164115469 698.1499930388748 0.008640706091724406
1.543191835884531 698.1499930353101 0.009180119787085586
1.6 698.1499931069511 0.009582166096646217
1.6248081641154692 698.1499930466704 0.009760729210492364
1.7031918358845308 698.1499930477669 0.01033710091380802
1.76 698.1499932291134 0.01076663191309758
1.7848081641154692 698.1499931027691 0.010957775843105668
1.8631918358845312 698.4200322827297 0.011574175993500744
1.92 699.2703966870123 0.012041911047414436
1.9448081641154689 699.775941724311 0.012254361454584197
2.0231918358845307 701.5479658169572 0.0129626413356066
2.08 703.1594595350915 0.013519497337797323
2.104808164115469 704.0094137689259 0.013777361231536618
2.183191835884531 707.6224887537232 0.014664410156116253
2.24 711.2689228836573 0.015409846735432674
2.2648081641154687 713.2891625414785 0.015763302092180048
2.343191835884531 733.7369743489395 0.017425004771530722
2.4000000000000004 748.1500074713483 0.01960723875360256
2.424808164115469 748.150007479644 0.020840891218801345
2.50319183588453 748.1500074809203 0.0251518586106844
2.56 748.1500074796675 0.028705273467866596
2.584808164115469 748.1500074810322 0.03037997501236536
2.663191835884531 748.1500074812627 0.036203195342031445
2.72 748.1500074806165 0.040968166012330165
2.7448081641154687 748.1500074812611 0.043202881304169806
2.823191835884531 748.150007481362 0.05092073647358011
2.8800000000000003 748.1500074809501 0.057173894650281915
2.904808164115469 748.1500074813474 0.06008734821673648
2.98319183588453 748.1500074814049 0.07005800673982479
3.04 748.1500074811028 0.07803144696677794
3.064808164115469 748.1500074813873 0.08171461035438815
3.1431918358845308 748.1500074814254 0.09417005203317344
3.2 748.1500074811743 0.1039642026963493
3.2248081641154687 748.1500074814057 0.10843919648500804
3.303191835884531 748.1500074814332 0.12334535840351032
3.3600000000000003 748.150007481192 0.13482303446144747
3.384808164115469 748.1500074814087 0.13999707917342472
3.4631918358845306 748.1500074814289 0.15691628186390216
3.52 748.1500074811402 0.16961909979438947
3.544808164115469 748.1500074813885 0.17525446081084636
3.6231918358845303 748.1500074813947 0.19328664957148672
3.68 748.150007480819 0.20643438194033475
3.7048081641154686 748.1500074812619 0.21205852790837423
3.7831918358845305 748.1500074789034 0.23021953139438373
3.84 743.4754835101268 0.24216153688027087
3.864808164115469 736.8211621238119 0.246213934158402
3.9431918358845306 727.7793068989652 0.25670732496915094
4.0 721.9329518317464 0.2625859575241316
4.024808164115469 720.2771905454007 0.26484540270671564
4.103191835884531 714.7105938102583 0.27109217779187644
4.16 711.0680667555082 0.27491382181731405
4.184808164115469 709.8121434778755 0.2764387997890946
4.263191835884531 705.916272555751 0.28080342536194075
4.32 703.3367014235429 0.28359493496208726
4.344808164115469 702.3532167172028 0.2847347221105036
4.423191835884532 699.4679049025153 0.288053853102511
4.48 698.1499930632727 0.2902599193416182
4.5048081641154685 698.1499930253576 0.2911941294161403
4.583191835884532 698.149993020316 0.29410348558072086
4.640000000000001 698.1499930242055 0.2961712234728328
4.664808164115469 698.1499930199782 0.2970633006467358
4.74319183588453 698.1499930192817 0.2998377641955139
4.8 698.1499930214937 0.301806157950877
4.824808164115469 698.1499930193228 0.302654460639234
4.903191835884531 698.1499930189958 0.3052891578166278
4.96 698.1499930205225 0.30715497182755613
4.984808164115469 698.1499930190685 0.307958165039317
5.063191835884531 698.1499930188625 0.3104491883013395
5.12 698.1499930200254 0.3122098834710608
5.144808164115469 698.1499930189337 0.31296693503866485
5.223191835884531 698.1499930187855 0.31531132687849367
5.28 698.1499930197245 0.31696504500266764
5.304808164115469 698.1499930188509 0.31767521777449426
5.383191835884531 698.1499930187357 0.3198709422773568
5.44 698.1499930195239 0.3214164820104793
5.464808164115468 698.1499930187948 0.322079322498754
5.543191835884532 698.1499930187009 0.32412522623384854
5.6000000000000005 698.149993019381 0.32556201184704664
5.6248081641154695 698.1499930187547 0.3261773358670334
